species,taxonomicGroup,selected,threatened,commonName,redListStatus,functionalGroup
Gnorimus_variabilis,ForestBeetles,TRUE,NA,Gnorimus variabilis,NA,decid
Grynocharis_oblonga,ForestBeetles,TRUE,TRUE,Grynocharis oblonga,Vulnerable,gen
Gyrophaena_nitidula,ForestBeetles,FALSE,NA,Gyrophaena nitidula,NA,NA
Hesperus_rufipennis,ForestBeetles,FALSE,NA,Hesperus rufipennis,NA,NA
Hexarthrum_duplicatum,ForestBeetles,FALSE,NA,Hexarthrum duplicatum,NA,NA
Hololepta_plana,ForestBeetles,TRUE,TRUE,Hololepta plana,Near threatened,decid
Hymenophorus_doublieri,ForestBeetles,TRUE,NA,Hymenophorus doublieri,NA,conif
Ischnodes_sanguinicollis,ForestBeetles,TRUE,NA,Ischnodes sanguinicollis,NA,decid
Lacon_lepidopterus,ForestBeetles,FALSE,NA,Lacon lepidopterus,NA,NA
Lacon_punctatus,ForestBeetles,FALSE,NA,Lacon punctatus,NA,NA
Lacon_querceus,ForestBeetles,TRUE,NA,Lacon querceus,NA,decid
Laemophloeus_muticus,ForestBeetles,TRUE,NA,Laemophloeus muticus,NA,decid
Lasconotus_jelskii,ForestBeetles,TRUE,NA,Lasconotus jelskii,NA,conif
Latridius_brevicollis,ForestBeetles,TRUE,NA,Latridius brevicollis,NA,decid
Leiestes_seminiger,ForestBeetles,FALSE,NA,Leiestes seminiger,NA,NA
Lichenophanes_varius,ForestBeetles,FALSE,NA,Lichenophanes varius,NA,NA
Limoniscus_violaceus,ForestBeetles,FALSE,NA,Limoniscus violaceus,NA,NA
Lopheros_lineatus,ForestBeetles,FALSE,NA,Lopheros lineatus,NA,NA
Lordithon_pulchellus,ForestBeetles,TRUE,NA,Lordithon pulchellus,NA,gen
Lordithon_speciosus,ForestBeetles,TRUE,NA,Lordithon speciosus,NA,gen
Macroleptura_thoracica,ForestBeetles,FALSE,NA,Macroleptura thoracica,NA,NA
Megapenthes_lugens,ForestBeetles,FALSE,NA,Megapenthes lugens,NA,NA
Melandrya_barbata,ForestBeetles,TRUE,TRUE,Melandrya barbata,Endangered,decid
Melandrya_caraboides,ForestBeetles,TRUE,TRUE,Melandrya caraboides,Vulnerable,decid
Mesosa_curculionoides,ForestBeetles,TRUE,TRUE,Mesosa curculionoides,Endangered,decid
Microrhagus_pyrenaeus,ForestBeetles,FALSE,NA,Microrhagus pyrenaeus,NA,NA
Mycetochara_obscura,ForestBeetles,TRUE,TRUE,Mycetochara obscura,Vulnerable,gen
Mycetochara_quadrimaculata,ForestBeetles,FALSE,NA,Mycetochara quadrimaculata,NA,NA
